"SS03060 Ferðsluóhapp skift á sýslu, stað og slag (1995-2017)"

"sýsla","stað","slag","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Norðoya sýsla","Á landsvegi","Ferðsluóhapp tilsamans",22,17,22,33,29,34,32,28,16,31,37,43,22,24,..,19,18,13
"Norðoya sýsla","Á landsvegi","Skadd fólk",1,2,2,1,6,1,3,-,1,1,1,8,4,1,..,1,2,-
"Norðoya sýsla","Á kommunalvegi","Ferðsluóhapp tilsamans",122,119,122,133,138,130,147,139,130,134,123,107,109,78,..,51,73,49
"Norðoya sýsla","Á kommunalvegi","Skadd fólk",9,5,8,3,4,7,6,8,3,7,8,5,2,4,..,-,-,-
"Eysturoyar sýsla","Á landsvegi","Ferðsluóhapp tilsamans",115,87,97,107,116,119,97,99,101,106,126,82,105,121,..,78,87,60
"Eysturoyar sýsla","Á landsvegi","Skadd fólk",9,9,17,13,8,13,13,12,24,15,6,13,15,9,..,8,4,4
"Eysturoyar sýsla","Á kommunalvegi","Ferðsluóhapp tilsamans",98,95,119,140,119,133,133,124,109,111,104,124,95,82,..,69,53,47
"Eysturoyar sýsla","Á kommunalvegi","Skadd fólk",6,8,12,6,5,8,10,5,7,2,2,3,3,2,..,6,2,-
"Streymoyar sýsla","Á landsvegi","Ferðsluóhapp tilsamans",115,117,91,126,157,131,141,136,123,147,139,154,124,132,..,117,92,79
"Streymoyar sýsla","Á landsvegi","Skadd fólk",11,17,17,18,11,4,34,19,21,12,12,25,14,28,..,21,5,23
"Streymoyar sýsla","Á kommunalvegi","Ferðsluóhapp tilsamans",459,467,424,527,580,537,552,390,449,434,392,450,370,378,..,305,314,254
"Streymoyar sýsla","Á kommunalvegi","Skadd fólk",19,20,20,36,27,23,15,14,32,42,32,26,15,23,..,13,12,7
"Vága sýsla","Á landsvegi","Ferðsluóhapp tilsamans",10,17,11,15,20,17,21,3,18,15,21,22,26,21,..,13,11,10
"Vága sýsla","Á landsvegi","Skadd fólk",1,-,1,1,4,1,2,-,9,2,2,2,3,2,..,1,3,1
"Vága sýsla","Á kommunalvegi","Ferðsluóhapp tilsamans",36,40,23,30,35,28,23,12,34,29,22,26,29,21,..,19,22,13
"Vága sýsla","Á kommunalvegi","Skadd fólk",3,4,3,-,2,-,-,-,4,-,1,3,3,4,..,-,3,2
"Sandoyar sýsla","Á landsvegi","Ferðsluóhapp tilsamans",9,10,6,7,6,6,5,14,8,14,10,7,7,11,..,3,10,8
"Sandoyar sýsla","Á landsvegi","Skadd fólk",-,-,-,-,-,-,2,1,-,3,-,3,5,3,..,-,-,-
"Sandoyar sýsla","Á kommunalvegi","Ferðsluóhapp tilsamans",9,8,15,15,8,11,14,9,23,15,13,7,6,6,..,12,6,8
"Sandoyar sýsla","Á kommunalvegi","Skadd fólk",-,-,1,2,-,-,-,-,1,-,-,1,-,-,..,-,2,-
"Suðuroyar sýsla","Á landsvegi","Ferðsluóhapp tilsamans",42,40,37,26,39,41,46,39,45,44,28,42,45,31,..,21,20,23
"Suðuroyar sýsla","Á landsvegi","Skadd fólk",-,3,5,4,5,2,6,2,3,3,4,5,3,9,..,-,-,1
"Suðuroyar sýsla","Á kommunalvegi","Ferðsluóhapp tilsamans",67,60,69,59,75,94,101,78,86,62,46,44,50,60,..,38,27,39
"Suðuroyar sýsla","Á kommunalvegi","Skadd fólk",4,4,2,3,7,2,1,5,7,3,3,2,2,2,..,1,3,4
